"Points:0","Points:1","Points:2"
-0.006586,-0.001091,-0.002704
-0.006235,-0.001071,-0.00264
-0.01582,-0.000254,-0.002919
-0.006976,0.00015,-0.002589
-0.014488,0.000626,-0.002618
-0.014433,0.003605,-0.002805
-0.014746,0.003906,-0.002769
-0.014097,0.004707,-0.002651
-0.014803,0.004952,-0.002645
-0.014788,0.005481,-0.002602
-0.013457,0.004311,-0.002641
-0.013622,0.004994,-0.002713
-0.013186,0.005768,-0.00268
-0.013741,0.0069,-0.002723
-0.016819,-0.006137,-0.002226
-0.015402,-0.006469,-0.001878
-0.014045,-0.006765,-0.001397
-0.019774,-0.004894,-0.002143
-0.019653,-0.004805,-0.001691
-0.019275,-0.004932,-0.001923
-0.019139,-0.005335,-0.002194
-0.018752,-0.005244,-0.001896
-0.018642,-0.004957,-0.001501
-0.017736,-0.004976,-0.002388
-0.016785,-0.005019,-0.002112
-0.017304,-0.004836,-0.001445
-0.016364,-0.005402,-0.001567
-0.015813,-0.005368,-0.002179
-0.015291,-0.004993,-0.002338
-0.014817,-0.005451,-0.001546
-0.014267,-0.004739,-0.002212
-0.013784,-0.004803,-0.002141
-0.013289,-0.005079,-0.001716
-0.00749,-0.004851,-0.001379
-0.00592,-0.005555,-0.001615
-0.004872,-0.004734,-0.001849
-0.003717,-0.005536,-0.001329
-0.001203,-0.004931,-0.001576
-0.01989,-0.004582,-0.002148
-0.019012,-0.004649,-0.001385
-0.019302,-0.003972,-0.001523
-0.018821,-0.003728,-0.002146
-0.017529,-0.003906,-0.002289
-0.017891,-0.003705,-0.001321
-0.016641,-0.004606,-0.001645
-0.017067,-0.00417,-0.002221
-0.016065,-0.004692,-0.002172
-0.014922,-0.004603,-0.002293
-0.015962,-0.003565,-0.001762
-0.015257,-0.003994,-0.002003
-0.013857,-0.004647,-0.001722
-0.014626,-0.003894,-0.002525
-0.014211,-0.004274,-0.001806
-0.014291,-0.003853,-0.001351
-0.013759,-0.003549,-0.0023
-0.012717,-0.003865,-0.002183
-0.012185,-0.004123,-0.001336
-0.007264,-0.004033,-0.002046
-0.006214,-0.004157,-0.00147
-0.005908,-0.003822,-0.002194
-0.003661,-0.004223,-0.00209
-0.003522,-0.003656,-0.001492
