"Points:0","Points:1","Points:2"
-0.019649,-0.00619,-0.002778
-0.018961,-0.007248,-0.002505
-0.018979,-0.006507,-0.002034
-0.016564,-0.006438,-0.001908
-0.016344,-0.006142,-0.002487
-0.016085,-0.006418,-0.002146
-0.014441,-0.006221,-0.002272
-0.009715,-0.006312,-0.002017
-0.019603,-0.005397,-0.002798
-0.019396,-0.004935,-0.002488
-0.017833,-0.005697,-0.002655
-0.016431,-0.004926,-0.00263
-0.016627,-0.005565,-0.002513
-0.016981,-0.004819,-0.001985
-0.016112,-0.005459,-0.002297
-0.015375,-0.005323,-0.002535
-0.015221,-0.005767,-0.002384
-0.014581,-0.005021,-0.002191
-0.013944,-0.005216,-0.002024
-0.012843,-0.005422,-0.002208
-0.010816,-0.004768,-0.002272
-0.008884,-0.005813,-0.001888
-0.008969,-0.004857,-0.002222
-0.009231,-0.005405,-0.001917
-0.008183,-0.005973,-0.002156
-0.008275,-0.005363,-0.001973
-0.007983,-0.005196,-0.002003
-0.007622,-0.00546,-0.002107
-0.006973,-0.005474,-0.002142
-0.006875,-0.004933,-0.001855
-0.019165,-0.0044,-0.002709
-0.019643,-0.004564,-0.001962
-0.019998,-0.004475,-0.002476
-0.018572,-0.004334,-0.002526
-0.017839,-0.004136,-0.002503
-0.01782,-0.003585,-0.002372
-0.01837,-0.003697,-0.001873
-0.017127,-0.003679,-0.002688
-0.016877,-0.003495,-0.002124
-0.015734,-0.004104,-0.001969
-0.015236,-0.003716,-0.002387
-0.014541,-0.003569,-0.002639
-0.014895,-0.003799,-0.002071
-0.014235,-0.003496,-0.00237
-0.014162,-0.00397,-0.002136
-0.01352,-0.0038,-0.002302
-0.013336,-0.004471,-0.00218
-0.01285,-0.004423,-0.001916
-0.011662,-0.003825,-0.002326
-0.010794,-0.003505,-0.002115
-0.010465,-0.003694,-0.002112
-0.010025,-0.003781,-0.002108
-0.009898,-0.004427,-0.002085
-0.0088,-0.003753,-0.002119
-0.009401,-0.003459,-0.002204
-0.006857,-0.003468,-0.002041
-0.005257,-0.003953,-0.001957
-0.01982,-0.002672,-0.002765
-0.019177,-0.002488,-0.002716
-0.018788,-0.002922,-0.002668
-0.019652,-0.003184,-0.00212
-0.01816,-0.002656,-0.002289
-0.018158,-0.002548,-0.002609
-0.017372,-0.003118,-0.002684
-0.016993,-0.002572,-0.002341
-0.016893,-0.002657,-0.002562
-0.015708,-0.003366,-0.002631
-0.015321,-0.002249,-0.002509
-0.01525,-0.002728,-0.002428
-0.014763,-0.002877,-0.00249
-0.014125,-0.002581,-0.002608
-0.013614,-0.002847,-0.002483
-0.013154,-0.002255,-0.002503
