"Points:0","Points:1","Points:2"
-0.009585,-0.006034,-0.001727
-0.008105,-0.006042,-0.00169
-0.019847,-0.004884,-0.002287
-0.019293,-0.004749,-0.001932
-0.019272,-0.005235,-0.002232
-0.017624,-0.004967,-0.002056
-0.0157,-0.004794,-0.002206
-0.0151,-0.004893,-0.001652
-0.013609,-0.004854,-0.002277
-0.013167,-0.00487,-0.002012
-0.01289,-0.00496,-0.001681
-0.011375,-0.005201,-0.001832
-0.010628,-0.005814,-0.002063
-0.009839,-0.005418,-0.002001
-0.008975,-0.00595,-0.001729
-0.009418,-0.005777,-0.00189
-0.009799,-0.005587,-0.001627
-0.019545,-0.003864,-0.00232
-0.019255,-0.003438,-0.001807
-0.018152,-0.003428,-0.002149
-0.017323,-0.004388,-0.001614
-0.016503,-0.004377,-0.002135
-0.016114,-0.003949,-0.00262
-0.015926,-0.003578,-0.002592
-0.015882,-0.00447,-0.00205
-0.015322,-0.004055,-0.0025
-0.015016,-0.004465,-0.002487
-0.014925,-0.00364,-0.002539
-0.014438,-0.004656,-0.0023
-0.013789,-0.004688,-0.001971
-0.014104,-0.004174,-0.002271
-0.013397,-0.003831,-0.002264
-0.012082,-0.004435,-0.001898
-0.011671,-0.004003,-0.002236
-0.010863,-0.004671,-0.00219
-0.009901,-0.003654,-0.001841
-0.007514,-0.004302,-0.001868
-0.006028,-0.004583,-0.002
-0.004789,-0.004232,-0.001736
-0.003667,-0.004091,-0.001987
-0.019929,-0.002706,-0.002641
-0.019208,-0.002401,-0.002475
-0.01883,-0.003111,-0.002458
-0.018434,-0.002258,-0.002502
-0.018158,-0.003068,-0.001832
-0.017669,-0.00292,-0.002479
-0.016703,-0.003371,-0.002089
-0.017019,-0.002961,-0.002014
-0.016636,-0.002756,-0.002323
-0.016255,-0.00233,-0.002461
-0.015256,-0.002826,-0.002439
-0.01503,-0.002327,-0.001642
-0.014948,-0.002848,-0.002449
-0.014454,-0.003239,-0.001963
-0.01283,-0.003257,-0.002028
-0.013178,-0.002925,-0.001918
-0.013056,-0.002393,-0.002511
-0.012121,-0.002332,-0.002243
-0.011591,-0.00275,-0.001901
-0.011452,-0.002272,-0.002521
-0.011195,-0.002627,-0.00216
-0.010121,-0.002753,-0.002621
-0.009885,-0.00303,-0.002225
-0.009441,-0.00339,-0.002184
-0.009232,-0.002501,-0.002197
-0.008633,-0.002834,-0.002522
-0.007942,-0.002707,-0.001764
-0.006989,-0.003173,-0.002254
-0.006352,-0.003132,-0.001939
-0.006042,-0.002313,-0.002208
-0.006683,-0.002555,-0.00166
-0.004796,-0.003308,-0.002188
-0.005481,-0.003186,-0.001666
-0.004365,-0.002388,-0.001724
-0.003565,-0.002345,-0.002177
-0.00184,-0.002309,-0.001865
5.8e-05,-0.003282,-0.001737
-0.019969,-0.001315,-0.002637
-0.019623,-0.001914,-0.002475
-0.019097,-0.001122,-0.00248
-0.018896,-0.001575,-0.002557
-0.018417,-0.001636,-0.002604
-0.017464,-0.001961,-0.002158
-0.017038,-0.001625,-0.002253
-0.017278,-0.001292,-0.001836
-0.0168,-0.001916,-0.002554
-0.014996,-0.002033,-0.002581
-0.015869,-0.001665,-0.002186
-0.015741,-0.001258,-0.002274
-0.013819,-0.002123,-0.00202
-0.014741,-0.00101,-0.002272
-0.014372,-0.001341,-0.002557
-0.014314,-0.001889,-0.002471
-0.013768,-0.001554,-0.002286
-0.013049,-0.001054,-0.002381
-0.012572,-0.001179,-0.002063
-0.012563,-0.001735,-0.001982
-0.011685,-0.001819,-0.002535
-0.011157,-0.001115,-0.002394
-0.01095,-0.001979,-0.00243
-0.010235,-0.001479,-0.002595
-0.009539,-0.002058,-0.002318
-0.008806,-0.002075,-0.002067
-0.009154,-0.001179,-0.001706
-0.00869,-0.001568,-0.002413
-0.007972,-0.000934,-0.002014
-0.007756,-0.001706,-0.002329
-0.006904,-0.002135,-0.002111
-0.00686,-0.001315,-0.001642
-0.006463,-0.00089,-0.001786
-0.005854,-0.001208,-0.001901
-0.00507,-0.001398,-0.002046
-0.004437,-0.000921,-0.002206
-0.004266,-0.001452,-0.001614
-0.004032,-0.001946,-0.00197
-0.001324,-0.001583,-0.001668
0.000472,-0.00188,-0.001927
0.002503,-0.001943,-0.001654
-0.019796,-0.000296,-0.002436
-0.01924,0.000189,-0.002436
-0.018871,-0.000315,-0.001949
-0.017921,0.000215,-0.001989
-0.01751,-2.8e-05,-0.001812
-0.017322,0.000333,-0.002439
-0.017305,-0.000215,-0.002495
-0.01673,-0.000136,-0.002104
-0.015868,0.000116,-0.002718
-0.015074,-0.000143,-0.002677
-0.015762,-0.000772,-0.002574
-0.016135,-0.000429,-0.002004
-0.014964,-0.000664,-0.002411
-0.013895,-0.000723,-0.002674
-0.014659,-0.000247,-0.002612
-0.014204,-4.2e-05,-0.002085
-0.013198,-0.000443,-0.002519
-0.012747,-0.000379,-0.001619
-0.011647,-0.000764,-0.002251
-0.011448,0.000157,-0.002589
-0.011744,-0.000408,-0.002485
-0.011008,-0.000527,-0.00217
-0.010677,4.2e-05,-0.001986
-0.010451,-0.000385,-0.002586
-0.009798,-0.000787,-0.001946
-0.008624,-0.000816,-0.002333
-0.009657,0.00031,-0.001703
-0.009089,-0.000266,-0.002424
-0.008714,0.0001,-0.00173
-0.008013,-0.000356,-0.001872
-0.006669,0.000266,-0.002507
-0.006709,-0.000308,-0.00206
-0.006182,-0.000139,-0.00223
-0.005821,-0.000446,-0.002241
-0.005531,-0.000646,-0.002245
-0.005176,-0.000355,-0.002017
-0.003663,-0.000252,-0.00197
-0.002726,-0.000434,-0.002234
-0.002595,0.000245,-0.001705
-2.7e-05,3.9e-05,-0.001676
0.001678,-0.000777,-0.001779
-0.019408,0.000633,-0.002552
-0.018884,0.001436,-0.002109
-0.018827,0.000926,-0.002509
-0.018528,0.000901,-0.001889
-0.016335,0.000543,-0.002245
-0.017315,0.000792,-0.002311
-0.01713,0.00161,-0.002496
-0.017007,0.00112,-0.002222
-0.015471,0.001493,-0.002834
-0.015061,0.000967,-0.002698
-0.015097,0.00056,-0.00242
-0.016151,0.001255,-0.002501
-0.014796,0.000472,-0.002133
-0.013737,0.000538,-0.001754
-0.013521,0.000422,-0.002091
-0.012458,0.000562,-0.001946
-0.013593,0.000839,-0.0025
-0.013301,0.001542,-0.002512
-0.012895,0.000653,-0.002325
-0.012597,0.001651,-0.002564
-0.01203,0.000587,-0.001835
-0.011941,0.001032,-0.002602
-0.011644,0.000576,-0.001906
-0.011345,0.001425,-0.00177
-0.011316,0.001236,-0.002598
-0.01054,0.001185,-0.002582
-0.009364,0.000502,-0.002333
-0.009741,0.000952,-0.001712
-0.008976,0.00131,-0.002396
-0.008615,0.000543,-0.002362
-0.008495,0.001641,-0.001741
-0.007502,0.000898,-0.002385
-0.006006,0.000462,-0.002313
-0.006755,0.00097,-0.001743
-0.005349,0.000448,-0.002451
-0.005857,0.001213,-0.002183
-0.005254,0.00109,-0.002387
-0.004324,0.000417,-0.002263
-0.003791,0.000419,-0.001755
-0.0044,0.001514,-0.00178
-0.003535,0.001484,-0.002398
-0.003026,0.000676,-0.002135
-0.001958,0.000479,-0.001971
-0.000714,0.00136,-0.001762
0.001482,0.001325,-0.00197
-0.019329,0.002945,-0.002663
-0.019206,0.001932,-0.002633
-0.019986,0.002652,-0.002091
-0.017627,0.001848,-0.00219
-0.017983,0.002585,-0.002449
-0.017502,0.002177,-0.002072
-0.01701,0.00267,-0.002597
-0.016533,0.002738,-0.00255
-0.01579,0.001831,-0.002359
-0.015545,0.001714,-0.002381
-0.016123,0.002019,-0.002341
-0.015732,0.002856,-0.002536
-0.015062,0.002095,-0.002431
-0.014101,0.001695,-0.002277
-0.014449,0.002659,-0.002602
-0.014094,0.002023,-0.002268
-0.013914,0.002252,-0.002136
-0.013397,0.002936,-0.002648
-0.012457,0.002525,-0.00232
-0.012119,0.002239,-0.002404
-0.01195,0.001906,-0.002011
-0.011577,0.002294,-0.002574
-0.010985,0.002476,-0.002511
-0.010365,0.002021,-0.001955
-0.010177,0.002513,-0.002079
-0.009822,0.002033,-0.002305
-0.009606,0.002874,-0.002506
-0.009362,0.001938,-0.002274
-0.008868,0.001964,-0.002327
-0.008837,0.002894,-0.001729
-0.008346,0.002657,-0.002326
-0.007932,0.002114,-0.002289
-0.007468,0.002795,-0.002274
-0.006812,0.00176,-0.002348
-0.006278,0.002226,-0.001919
-0.00665,0.002347,-0.002088
-0.004785,0.001949,-0.002486
-0.005713,0.002615,-0.002301
-0.004634,0.002553,-0.002074
-0.004198,0.002229,-0.00208
-0.003879,0.002544,-0.00259
-0.003549,0.002007,-0.002138
-0.002842,0.002109,-0.001791
-0.002529,0.00247,-0.002283
-0.001846,0.001704,-0.002047
-0.001225,0.00263,-0.001694
-0.000289,0.002873,-0.001945
0.000603,0.00205,-0.002141
0.001224,0.002725,-0.00176
0.002169,0.002313,-0.002109
-0.019917,0.003825,-0.002373
-0.018909,0.003638,-0.002503
-0.018502,0.003319,-0.002298
-0.017912,0.003281,-0.002026
-0.017609,0.003836,-0.002569
-0.016881,0.003283,-0.002149
-0.016456,0.003461,-0.002092
-0.01518,0.003082,-0.002617
-0.015708,0.003932,-0.002159
-0.014778,0.003343,-0.00205
-0.014561,0.004001,-0.002132
-0.014819,0.003589,-0.001874
-0.013973,0.004112,-0.002623
-0.01393,0.0032,-0.002614
-0.012962,0.003068,-0.002179
-0.013442,0.003961,-0.002254
-0.013034,0.003982,-0.002383
-0.01249,0.003649,-0.002597
-0.01168,0.003044,-0.002663
-0.011683,0.003919,-0.001958
-0.011545,0.003713,-0.002195
-0.010732,0.003886,-0.002426
-0.010389,0.003733,-0.001987
-0.009792,0.003861,-0.002253
-0.009377,0.00337,-0.002378
-0.009078,0.004065,-0.002051
-0.009094,0.003861,-0.001746
-0.00853,0.00382,-0.002327
-0.007363,0.003382,-0.002329
-0.007027,0.004162,-0.002138
-0.006501,0.003286,-0.002376
-0.005818,0.003907,-0.00237
-0.004964,0.003566,-0.002263
-0.004191,0.002955,-0.001744
-0.003958,0.004054,-0.002333
-0.002446,0.003044,-0.001801
-0.003309,0.003418,-0.002231
-0.002607,0.003942,-0.001692
-0.001742,0.003048,-0.001945
-0.000704,0.003173,-0.002249
-7.2e-05,0.003383,-0.00169
0.000309,0.004131,-0.002009
0.000999,0.003251,-0.002271
0.002769,0.003935,-0.001869
-0.019368,0.004275,-0.001705
-0.019323,0.005084,-0.002061
-0.019106,0.004431,-0.002618
-0.018697,0.004885,-0.002551
-0.017923,0.005061,-0.001992
-0.016298,0.004268,-0.00263
-0.017237,0.004356,-0.002548
-0.017035,0.004596,-0.001756
-0.016169,0.004669,-0.002053
-0.015607,0.004863,-0.002425
-0.015022,0.004454,-0.002601
-0.014994,0.005449,-0.002517
-0.013897,0.004764,-0.002682
-0.014499,0.005466,-0.002444
-0.013792,0.005337,-0.001718
-0.013897,0.005497,-0.002378
-0.012833,0.004265,-0.001849
-0.013041,0.004894,-0.002495
-0.012913,0.005401,-0.001824
-0.012348,0.005396,-0.002423
-0.012017,0.004426,-0.002502
-0.011702,0.005167,-0.00199
-0.010843,0.004912,-0.002557
-0.009225,0.004789,-0.002418
-0.008063,0.004267,-0.002335
-0.007782,0.005038,-0.002251
-0.0078,0.005498,-0.002367
-0.006008,0.004261,-0.001778
-0.006697,0.004336,-0.001944
-0.006613,0.004989,-0.002244
-0.006652,0.005329,-0.002168
-0.005158,0.005189,-0.002218
-0.004391,0.005073,-0.001631
-0.003968,0.005071,-0.001983
-0.003678,0.005342,-0.002057
-0.003234,0.004834,-0.001617
-0.002502,0.004713,-0.002181
-0.00165,0.005033,-0.001608
0.002395,0.005271,-0.002202
-0.019853,0.006349,-0.002731
-0.019056,0.006292,-0.001912
-0.018649,0.006264,-0.002326
-0.017936,0.005726,-0.002571
-0.017533,0.006427,-0.001823
-0.016985,0.005875,-0.00172
-0.016951,0.006317,-0.002495
-0.01671,0.006603,-0.00193
-0.016109,0.006241,-0.001782
-0.015574,0.006024,-0.002488
-0.014934,0.006765,-0.002164
-0.014378,0.006628,-0.002591
-0.014104,0.005889,-0.00235
-0.013492,0.006438,-0.001909
-0.01254,0.006307,-0.002562
-0.012179,0.005603,-0.001938
-0.012,0.006174,-0.001728
-0.011342,0.005695,-0.002529
-0.011697,0.006317,-0.002013
-0.010671,0.005642,-0.002132
-0.011008,0.006248,-0.002456
-0.009942,0.005801,-0.002094
-0.010221,0.006299,-0.001739
-0.00889,0.005636,-0.002096
-0.009626,0.006046,-0.00203
-0.008926,0.005861,-0.002161
-0.008639,0.005988,-0.002042
-0.008762,0.006748,-0.002258
-0.008458,0.006485,-0.002081
-0.007502,0.006257,-0.002322
-0.00746,0.006647,-0.002262
-0.006425,0.005587,-0.002139
-0.006668,0.00588,-0.001946
-0.006041,0.006293,-0.00178
-0.005993,0.005586,-0.002248
-0.004359,0.006247,-0.002292
-0.002901,0.00594,-0.001901
-0.002565,0.006746,-0.002162
-0.001574,0.005826,-0.002203
0.000125,0.006053,-0.002095
0.000645,0.006769,-0.001618
0.001624,0.006266,-0.001595
0.002262,0.006093,-0.001796
-0.019828,0.007796,-0.002109
-0.019353,0.007275,-0.00261
-0.01896,0.007301,-0.001891
-0.017619,0.00783,-0.00267
-0.018115,0.007446,-0.002605
-0.01781,0.006983,-0.001965
-0.017297,0.007203,-0.00194
-0.016069,0.0072,-0.002502
-0.015861,0.008036,-0.001899
-0.013178,0.006928,-0.002421
-0.013121,0.007518,-0.002315
-0.013036,0.008043,-0.001723
-0.012521,0.007294,-0.001934
-0.012117,0.007306,-0.00186
-0.01176,0.007662,-0.002543
-0.011109,0.007012,-0.002093
-0.010702,0.007259,-0.001875
-0.010574,0.007088,-0.002085
-0.009934,0.007455,-0.001955
-0.010336,0.007962,-0.002468
-0.009704,0.007861,-0.001839
-0.009051,0.007657,-0.00247
-0.008422,0.00785,-0.002246
-0.00795,0.00728,-0.001676
-0.008006,0.008027,-0.002431
-0.006747,0.006875,-0.001758
-0.006156,0.007755,-0.002222
-0.006477,0.007143,-0.002233
-0.005804,0.008001,-0.002058
-0.004884,0.007503,-0.002249
-0.003507,0.007292,-0.001605
-0.003291,0.007767,-0.002165
-0.001835,0.006796,-0.002179
-0.00086,0.007338,-0.0019
-0.000467,0.007393,-0.002097
-7.8e-05,0.007335,-0.002198
0.000994,0.007379,-0.00231
-0.019296,0.008139,-0.00243
-0.018949,0.008618,-0.002525
-0.018292,0.008545,-0.002111
-0.017868,0.008803,-0.002054
-0.016437,0.00811,-0.002226
-0.017265,0.008528,-0.002502
-0.01712,0.009199,-0.001883
-0.015957,0.009315,-0.002361
-0.014422,0.008216,-0.001941
-0.013864,0.008481,-0.0023
-0.013395,0.008916,-0.002262
-0.012392,0.00907,-0.002275
-0.011231,0.008064,-0.001827
-0.011819,0.008349,-0.001775
-0.010777,0.008793,-0.001847
-0.009968,0.008539,-0.001784
-0.009501,0.008851,-0.00236
-0.009082,0.008577,-0.002253
-0.008693,0.008964,-0.001664
-0.008392,0.008692,-0.002051
-0.007819,0.009032,-0.001982
-0.007508,0.008752,-0.001918
-0.006815,0.008349,-0.002371
-0.006497,0.009183,-0.001608
-0.005682,0.008828,-0.00173
-0.004822,0.008151,-0.001843
-0.003607,0.009123,-0.002133
-0.002749,0.009005,-0.001853
-0.002153,0.009278,-0.001765
-0.001509,0.008074,-0.002177
-0.000288,0.008389,-0.002041
-0.01988,0.009894,-0.001834
-0.016733,0.009728,-0.001984
-0.016198,0.010012,-0.00197
-0.015573,0.010086,-0.002333
-0.014863,0.010261,-0.002198
-0.014086,0.009859,-0.001687
-0.013895,0.009876,-0.002431
-0.012366,0.009897,-0.002224
-0.011657,0.009455,-0.002205
-0.011716,0.010319,-0.002299
-0.010201,0.009759,-0.002336
-0.006843,0.00952,-0.002229
-0.004862,0.009581,-0.002358
-0.001901,0.009416,-0.002051
-0.001057,0.009719,-0.002209
-0.018071,0.011077,-0.001604
-0.01121,0.010917,-0.002179
-0.012461,-0.00728,-0.001396
-0.019593,-0.006736,-0.001447
-0.017839,-0.006224,-0.001115
-0.016841,-0.006037,-0.001233
-0.016114,-0.006033,-0.001149
-0.015558,-0.006039,-0.001338
-0.014743,-0.007181,-0.001459
-0.013699,-0.006338,-0.001142
-0.012203,-0.006116,-0.00138
-0.010501,-0.006081,-0.001179
-0.009333,-0.006477,-0.001125
-0.008506,-0.006338,-0.001287
-0.005341,-0.006032,-0.00125
-0.019705,-0.005502,-0.001145
-0.018493,-0.005507,-0.001136
-0.016188,-0.005102,-0.00143
-0.017274,-0.005378,-0.00127
-0.01494,-0.005932,-0.001155
-0.014296,-0.005152,-0.001303
-0.013716,-0.005517,-0.001067
-0.012626,-0.005958,-0.001516
-0.012204,-0.005106,-0.001455
-0.011431,-0.005744,-0.001183
-0.010633,-0.004977,-0.001547
-0.008783,-0.004728,-0.001288
-0.00783,-0.005521,-0.001085
-0.007596,-0.00488,-0.001116
-0.006783,-0.005559,-0.001073
-0.002906,-0.005154,-0.001509
-0.018812,-0.004687,-0.001265
-0.019546,-0.003907,-0.000995
-0.018205,-0.004424,-0.00155
-0.018505,-0.003603,-0.000941
-0.017308,-0.003481,-0.001295
-0.016869,-0.004144,-0.000945
-0.015449,-0.003955,-0.001029
-0.014652,-0.004006,-0.001236
-0.013571,-0.003987,-0.00124
-0.012732,-0.003871,-0.001338
-0.012012,-0.004558,-0.000848
-0.011487,-0.003984,-0.001116
-0.010467,-0.003692,-0.00121
-0.009941,-0.00441,-0.001026
-0.009214,-0.003778,-0.001089
-0.008157,-0.003942,-0.001307
-0.007054,-0.003745,-0.001418
-0.006895,-0.004484,-0.001232
-0.005613,-0.00408,-0.000993
-0.003513,-0.003571,-0.001517
-0.003653,-0.004661,-0.001143
-0.004693,-0.003446,-0.001068
-0.002416,-0.004137,-0.001212
-0.002368,-0.003613,-0.001269
-0.019006,-0.002392,-0.001418
-0.018718,-0.002475,-0.000922
-0.017209,-0.002286,-0.000834
-0.016384,-0.002708,-0.000893
-0.016045,-0.003155,-0.001281
-0.015724,-0.002935,-0.00124
-0.015042,-0.002516,-0.001004
-0.014142,-0.002176,-0.001391
-0.014144,-0.003013,-0.001216
-0.013307,-0.002449,-0.001073
-0.012857,-0.002856,-0.001075
-0.0118,-0.00258,-0.001236
