"Points_X","Points_Y"
-0.05441,0.000187
-0.054339,0.004136
-0.053927,0.0013
-0.053394,-1.4e-05
-0.053304,-0.000631
-0.053155,0.004239
-0.053097,0.002121
-0.053074,0.00186
-0.052986,-0.00254
-0.052858,0.000666
-0.052832,0.002887
-0.052236,-0.003674
-0.052151,-0.001048
-0.052131,-0.004263
-0.05206,-0.002158
-0.052018,0.003344
-0.052006,0.005943
-0.05192,0.008406
-0.051546,-0.007453
-0.05153,0.001573
-0.051199,0.000425
-0.051,-0.001046
-0.050981,-0.004392
-0.05097,0.004252
-0.05083,-0.00536
-0.050828,-0.007316
-0.050701,-0.001782
-0.050667,-0.002138
-0.050538,0.007344
-0.050535,0.002529
-0.050513,0.00053
-0.050436,-0.000401
-0.050423,0.006363
-0.050407,-0.004843
-0.050365,-0.008377
-0.05029,-0.003578
-0.050213,0.0016
-0.05011,0.009511
-0.050046,0.00849
-0.050001,-0.002435
-0.049977,-0.00701
-0.049933,-0.005538
-0.049868,-0.001584
-0.049836,0.010905
-0.049649,0.000128
-0.049613,-0.002943
-0.049494,0.003263
-0.049484,-0.006591
-0.049479,0.002422
-0.049448,-0.008473
-0.049358,0.006137
-0.049334,-0.004714
-0.049267,-0.003578
-0.049253,-0.009449
-0.049239,0.000858
-0.049224,0.00162
-0.049204,-0.001227
-0.04914,0.003468
-0.048835,0.004177
-0.048774,-0.00093
-0.048743,-0.004475
-0.048734,0.003958
-0.048687,0.004693
-0.048635,-0.007254
-0.04863,0.000341
-0.048609,0.007508
-0.048595,0.008033
-0.04857,0.010061
-0.048433,-0.002038
-0.048402,-0.002504
-0.048368,-0.005907
-0.048355,-0.001329
-0.048354,-0.004895
-0.048336,-0.003537
-0.048279,0.001792
-0.048162,-0.008501
-0.048061,0.005804
-0.048043,0.008627
-0.04799,-0.002951
-0.047985,-0.004223
-0.047936,-0.000378
-0.047871,0.00119
-0.047798,0.004808
-0.047771,0.002659
-0.04775,0.003757
-0.047749,-0.002952
-0.04772,-0.000752
-0.047685,0.009566
-0.047612,0.011413
-0.047578,0.006468
-0.047503,-0.006219
-0.047488,0.001846
-0.047464,-0.001571
-0.047383,-0.010761
-0.047366,0.001339
-0.047319,-0.008569
-0.047236,0.001313
-0.047227,0.005801
-0.047159,-0.0055
-0.047113,0.000404
-0.047092,-0.00279
-0.047066,0.004185
-0.047055,-0.003840.000146
-0.047038,-0.00448
-0.047009,0.004982
-0.046872,-0.009119
-0.046845,0.009978
-0.046841,0.007872
-0.046829,-0.005965
-0.046775,-0.000676
-0.046663,-0.010668
-0.046623,-0.006491
-0.046602,0.000626
-0.046503,-0.001986
-0.046475,0.008612
-0.046455,-0.001305
-0.046438,-0.004605
-0.046428,0.006478
-0.046396,0.002584
-0.046383,0.003201
-0.046367,0.003204
-0.046355,0.002294
-0.046319,-0.013139
-0.046259,0.00515
-0.046234,0.01226
-0.046192,0.005778
-0.04612,0.00015
-0.046108,0.010692
-0.046088,-0.00273
-0.045968,-0.004536
-0.045941,-0.007225
-0.045892,-0.001391
-0.045853,-0.003076
-0.045786,-0.008208
-0.045784,-0.009684
-0.045737,0.007986
-0.04567,0.000793
-0.045662,0.006481
-0.045622,0.001661
-0.045599,-0.006143
-0.045578,-0.003459
-0.045568,-0.002312
-0.045517,-0.011078
-0.045449,-0.006842
-0.045433,0.003974
-0.045408,0.009323
-0.045362,-0.000668
-0.045325,0.011258
