"Points:0","Points:1","Points:2"
-1.98040e-02,-1.00110e-02,-1.79700e-03
-2.29410e-02,-9.38100e-03,-1.74400e-03
-2.21300e-02,-8.45900e-03,-1.88100e-03
-2.13670e-02,-8.20800e-03,-2.29700e-03
-2.11860e-02,-9.28300e-03,-2.24400e-03
-1.94360e-02,-8.64500e-03,-1.79500e-03
-2.33180e-02,-6.83200e-03,-2.07900e-03
-2.27810e-02,-7.64800e-03,-2.73800e-03
-2.15920e-02,-7.44700e-03,-2.45000e-03
-2.13860e-02,-7.23800e-03,-1.91100e-03
-1.99520e-02,-7.20100e-03,-2.13900e-03
-1.95510e-02,-7.92300e-03,-1.99100e-03
-1.57850e-02,-6.51200e-03,-2.16500e-03
-1.27940e-02,-6.88200e-03,-2.87100e-03
-1.21800e-02,-6.82100e-03,-1.84200e-03
-1.09050e-02,-7.29000e-03,-1.97100e-03
-7.60800e-03,-6.96000e-03,-1.94800e-03
-2.27540e-02,-5.48200e-03,-2.66800e-03
-2.33580e-02,-4.78800e-03,-1.82500e-03
-2.13300e-02,-5.45700e-03,-2.51100e-03
-1.92970e-02,-4.83300e-03,-2.09900e-03
-1.83390e-02,-4.99400e-03,-1.91800e-03
-1.72360e-02,-5.99700e-03,-2.21200e-03
-1.41150e-02,-5.90700e-03,-2.97800e-03
-1.32750e-02,-5.15500e-03,-2.34300e-03
-1.30300e-02,-6.24200e-03,-2.32400e-03
-1.17020e-02,-5.37700e-03,-2.25100e-03
-1.13530e-02,-6.38800e-03,-2.28000e-03
-9.22600e-03,-5.76000e-03,-2.10300e-03
-8.20400e-03,-5.43500e-03,-2.29800e-03
-7.23300e-03,-5.10000e-03,-2.40200e-03
-6.56800e-03,-5.16900e-03,-2.27300e-03
-5.62800e-03,-6.36100e-03,-2.22800e-03
-4.18400e-03,-5.11600e-03,-2.20100e-03
-2.33000e-03,-6.12900e-03,-2.12700e-03
-2.30660e-02,-3.61600e-03,-2.59700e-03
-2.25030e-02,-3.35900e-03,-2.21300e-03
-2.16810e-02,-3.93000e-03,-2.60200e-03
-1.96420e-02,-3.81100e-03,-2.27000e-03
-1.85200e-02,-3.81400e-03,-2.40800e-03
-1.73090e-02,-3.77600e-03,-1.73700e-03
-1.51710e-02,-4.27600e-03,-2.94700e-03
-1.65870e-02,-4.11900e-03,-2.65100e-03
-1.63160e-02,-3.01500e-03,-1.81900e-03
-1.56870e-02,-3.35100e-03,-2.17800e-03
-1.39070e-02,-4.15600e-03,-2.93400e-03
-1.40650e-02,-3.13200e-03,-2.66900e-03
-1.24340e-02,-4.32000e-03,-2.54400e-03
-1.10490e-02,-3.08600e-03,-2.05900e-03
-1.03980e-02,-4.48700e-03,-2.31100e-03
-8.33000e-03,-3.46100e-03,-2.57400e-03
-7.56100e-03,-3.90400e-03,-1.90900e-03
-5.53300e-03,-3.33800e-03,-2.10600e-03
-2.89200e-03,-4.05100e-03,-2.02600e-03
-3.58000e-04,-3.87500e-03,-2.29100e-03
5.59000e-04,-3.09200e-03,-1.97400e-03
2.68100e-03,-4.45900e-03,-1.91000e-03
-2.33700e-02,-1.97900e-03,-2.65000e-03
-2.15350e-02,-1.34100e-03,-1.93100e-03
-2.07140e-02,-2.29100e-03,-2.25900e-03
-1.94090e-02,-2.05300e-03,-2.10400e-03
-1.72540e-02,-2.21800e-03,-2.59000e-03
-1.65460e-02,-1.46100e-03,-2.03200e-03
-1.57670e-02,-2.29500e-03,-2.84900e-03
-1.46910e-02,-2.35200e-03,-2.98900e-03
-1.42410e-02,-2.39500e-03,-1.84000e-03
-1.37230e-02,-2.48000e-03,-1.93800e-03
-1.22340e-02,-1.88900e-03,-2.31800e-03
-9.97300e-03,-2.97300e-03,-2.40600e-03
-9.27100e-03,-1.77400e-03,-2.48400e-03
-6.98300e-03,-2.73000e-03,-2.23300e-03
-4.03500e-03,-2.63400e-03,-2.14300e-03
-3.91300e-03,-1.74600e-03,-1.89400e-03
-2.34400e-03,-1.38700e-03,-2.65600e-03
-1.52200e-03,-2.29900e-03,-2.54300e-03
-1.86000e-04,-1.38300e-03,-3.08900e-03
2.71000e-04,-1.80500e-03,-2.06200e-03
5.18000e-04,-2.50600e-03,-2.50600e-03
2.57600e-03,-2.44000e-03,-2.16500e-03
3.99400e-03,-1.40500e-03,-1.90400e-03
-2.20270e-02,-6.78000e-04,-1.93600e-03
-2.01030e-02,-3.08000e-04,-2.24600e-03
-1.90580e-02,-7.86000e-04,-2.42400e-03
-1.84970e-02,2.54000e-04,-2.47400e-03
-1.76660e-02,-3.19000e-04,-1.85200e-03
-1.67240e-02,-5.28000e-04,-2.78200e-03
-1.63260e-02,8.00000e-05,-2.14200e-03
-1.51510e-02,-3.46000e-04,-2.87500e-03
-1.48270e-02,-1.29700e-03,-2.18200e-03
-1.38500e-02,-5.15000e-04,-2.68900e-03
-1.31110e-02,-9.53000e-04,-2.23700e-03
-1.30520e-02,3.48000e-04,-1.78500e-03
-1.00500e-02,-4.85000e-04,-1.85300e-03
-8.29000e-03,-6.50000e-05,-2.37400e-03
-6.57500e-03,-1.29200e-03,-2.17300e-03
-3.91100e-03,-6.07000e-04,-2.51300e-03
-1.54600e-03,-1.22500e-03,-1.91800e-03
-2.45300e-03,-6.70000e-04,-2.39500e-03
-2.63400e-03,2.67000e-04,-2.76900e-03
-1.69300e-03,-3.22000e-04,-2.81200e-03
-9.73000e-04,-5.45000e-04,-3.06500e-03
-2.77000e-04,1.79000e-04,-1.78100e-03
7.66000e-04,1.72000e-04,-3.01300e-03
9.63000e-04,-1.27700e-03,-1.77100e-03
7.58000e-04,1.50000e-04,-1.95900e-03
1.45600e-03,-9.59000e-04,-2.86400e-03
1.56200e-03,-1.62000e-04,-2.83800e-03
2.76000e-03,-4.60000e-05,-2.69200e-03
3.61500e-03,3.80000e-04,-1.99500e-03
-2.29040e-02,6.90000e-04,-2.18600e-03
-2.21140e-02,2.00400e-03,-2.29300e-03
-2.08990e-02,4.12000e-04,-2.02800e-03
-2.12220e-02,1.20100e-03,-2.20300e-03
-1.95290e-02,9.11000e-04,-1.82100e-03
-1.79780e-02,1.33100e-03,-2.15200e-03
-1.69400e-02,1.28300e-03,-2.63600e-03
-1.67820e-02,1.20700e-03,-2.01400e-03
-1.51590e-02,7.52000e-04,-2.93800e-03
-1.44300e-02,1.74800e-03,-1.95400e-03
-1.30840e-02,1.14800e-03,-2.34800e-03
-1.17150e-02,1.03900e-03,-2.21000e-03
-1.10620e-02,4.14000e-04,-1.86400e-03
-1.09440e-02,2.02300e-03,-2.40800e-03
-1.03290e-02,5.16000e-04,-2.47700e-03
-1.03510e-02,1.99100e-03,-2.09500e-03
-9.54100e-03,1.56600e-03,-1.79000e-03
-8.96900e-03,2.04100e-03,-2.16800e-03
-7.13600e-03,1.78900e-03,-2.14300e-03
-5.43900e-03,8.52000e-04,-1.77900e-03
-2.51800e-03,9.41000e-04,-2.74000e-03
-2.61900e-03,1.11000e-03,-1.85800e-03
-1.50900e-03,7.46000e-04,-1.74400e-03
-9.56000e-04,6.98000e-04,-3.13200e-03
2.84000e-04,7.07000e-04,-2.96800e-03
-7.86000e-04,1.63300e-03,-1.76600e-03
7.47000e-04,1.89400e-03,-1.95500e-03
2.24500e-03,9.08000e-04,-2.34900e-03
2.51100e-03,1.99400e-03,-2.48000e-03
3.54700e-03,1.06900e-03,-2.24100e-03
3.70300e-03,1.77000e-03,-2.07300e-03
-2.03340e-02,3.17400e-03,-2.04200e-03
