x,left,right,length
-0.051952,0.005136,-0.007528,0.012664
-0.049952,0.007972,-0.007829,0.015801
-0.047952,0.011572,-0.009719,0.021291
-0.045952,0.013382,-0.010028,0.02341
-0.043952,0.012861,-0.01064,0.023501
-0.041952,0.012637,-0.009918,0.022555
-0.039952,0.01244,-0.010814,0.023254
-0.037952,0.011844,-0.011175,0.023019
-0.035952,0.012371,-0.009985,0.022356
-0.033952,0.011707,-0.009952,0.021659
-0.031952,0.011573,-0.009312,0.020885
-0.029952,0.011311,-0.007854,0.019165
-0.027952,0.010136,-0.007967,0.018103
-0.025952,0.010826,-0.007309,0.018135
-0.023952,0.011217,-0.006891,0.018108
-0.021952,0.010973,-0.008735,0.019708
-0.019952,0.011051,-0.007248,0.018299
-0.017952,0.011067,-0.00706,0.018127
-0.015952,0.01056,-0.007085,0.017645
-0.013952,0.011101,-0.007069,0.01817
-0.011952,0.01091,-0.006346,0.017256
-0.009952,0.010798,-0.007746,0.018544
-0.007952,0.010767,-0.006438,0.017205
-0.005952,0.010501,-0.005539,0.01604
-0.003952,0.009319,-0.005141,0.01446
-0.001952,0.007734,-0.004316,0.01205
4.8e-05,0.007234,-0.004729,0.011963
0.002048,0.006764,-0.003481,0.010245
